ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
22687026;04/02/2021;12:30:09;80658470408;40;1;Cancelled;0.166116;0.000000;0.294979;Paper;2_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Normal
22697467;04/02/2021;12:30:50;80699127522;41;1;Failed;0.166116;0.000000;0.294979;Paper;2_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Normal
22754451;04/02/2021;12:33:11;80840243917;42;1;Succeeded;0.166116;0.166116;0.294979;Paper;2_pass;Winder;0.016810;0.017399;0.025069;0.032073;0.017000;0.018000;0.026000;0.034000;Normal
22841838;04/02/2021;12:37:55;81124683270;43;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass;Winder;0.019240;0.019903;0.028673;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
22946029;04/02/2021;12:39:37;81226363027;44;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Winder;0.019271;0.019930;0.028752;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
23143117;04/02/2021;12:58:20;82349072254;45;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Freefall;0.019271;0.019930;0.028751;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
23200198;04/02/2021;12:59:13;82402138161;46;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass;Freefall;0.019240;0.019903;0.028673;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
23239814;04/02/2021;12:59:52;82441932047;47;1;Succeeded;0.166116;0.166116;0.294979;Paper;2_pass;Freefall;0.016810;0.017399;0.025069;0.032073;0.017000;0.018000;0.026000;0.034000;Normal
23391082;04/02/2021;13:09:14;83003164731;48;0;Succeeded;0.169333;0.169333;0.762000;Paper;8_pass;Freefall;0.106082;0.101881;0.099833;0.100183;0.113000;0.109000;0.106000;0.107000;Normal
23454957;04/02/2021;13:10:20;83069281590;49;0;Succeeded;0.169333;0.169333;0.762000;Paper;4_pass;Freefall;0.106040;0.101831;0.099752;0.100159;0.113000;0.108000;0.106000;0.107000;Normal
23785145;04/02/2021;13:15:15;83363977997;50;0;Succeeded;0.723307;0.723307;1.104.900;Paper;8_pass_pinCure;Freefall;1.610.845;1.989.136;2.031.991;1.294.194;1.723.000;2.128.000;2.174.000;1.384.000;Normal
24497707;04/02/2021;14:43:41;88670288600;55;1;Succeeded;0.166116;0.166116;0.294979;Paper;2_pass;Freefall;0.016810;0.017399;0.025069;0.032073;0.017000;0.018000;0.026000;0.034000;Normal
24553728;04/02/2021;14:44:33;88722523522;56;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass;Freefall;0.019240;0.019903;0.028673;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
24654380;04/02/2021;14:45:59;88808285336;57;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Freefall;0.019271;0.019930;0.028752;0.036318;0.020000;0.021000;0.030000;0.038000;Normal
28139946;05/02/2021;10:32:03;1,59972E+11;58;1;Succeeded;0.166116;0.166116;0.294979;Paper;2_pass;Freefall;0.016810;0.017396;0.025069;0.032060;0.017000;0.018000;0.026000;0.034000;None
28193930;05/02/2021;10:32:57;1,60027E+11;59;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass;Freefall;0.019236;0.019899;0.028624;0.036312;0.020000;0.021000;0.030000;0.038000;None
28287870;05/02/2021;10:34:23;1,60112E+11;60;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Freefall;0.019271;0.019927;0.028652;0.036317;0.020000;0.021000;0.030000;0.038000;None
28348794;05/02/2021;10:35:22;1,60171E+11;61;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass_pinCure;Freefall;0.016683;0.017272;0.024860;0.031833;0.017000;0.018000;0.026000;0.034000;None
28444843;05/02/2021;10:36:38;1,60247E+11;62;1;Succeeded;0.166116;0.166116;0.294979;Paper;6_pass_pinCure;Freefall;0.024272;0.025118;0.035773;0.044786;0.025000;0.026000;0.038000;0.047000;None
28556589;05/02/2021;10:38:29;1,60358E+11;63;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass_pinCure;Freefall;0.029550;0.030612;0.043188;0.053830;0.031000;0.032000;0.046000;0.057000;None
28557205;05/02/2021;10:38:29;1,60358E+11;63;2;Failed;0.198967;0.000000;0.294979;Paper;8_pass_pinCure;Freefall;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
28674504;05/02/2021;10:40:08;1,60457E+11;64;1;Succeeded;0.198967;0.198967;0.294979;Paper;8_pass_pinCure;Freefall;0.029988;0.030996;0.043964;0.070870;0.032000;0.033000;0.047000;0.075000;None
28985005;05/02/2021;11:38:25;1,63954E+11;65;1;Succeeded;0.203708;0.203708;0.352044;Paper;2_pass;Freefall;0.310796;0.307195;0.310813;0.175828;0.332000;0.328000;0.332000;0.188000;None
29315216;05/02/2021;12:34:38;1,67327E+11;66;1;Succeeded;0.622808;0.622808;0.444500;Paper;2_pass;Freefall;0.194241;0.243654;0.386439;0.097935;0.207000;0.260000;0.413000;0.104000;None
29357066;05/02/2021;12:35:19;1,67368E+11;67;1;Succeeded;0.222335;0.222335;0.293906;Paper;2_pass;Freefall;0.092492;0.091471;0.110749;0.077975;0.098000;0.097000;0.118000;0.083000;None
30129111;05/02/2021;15:05:33;1,76382E+11;68;1;Succeeded;0.599990;0.599990;1.200.009;Paper;2_pass;Freefall;0.809999;1.181.133;1.073.945;1.212.718;0.866000;1.263.000;1.149.000;1.297.000;None
30167636;05/02/2021;15:06:26;1,76435E+11;68;2;Succeeded;0.599990;0.599990;1.200.009;Paper;2_pass;Freefall;0.609286;0.984439;0.837050;1.168.583;0.651000;1.053.000;0.895000;1.250.000;None
30376323;05/02/2021;15:36:48;1,78257E+11;69;1;Succeeded;0.222335;0.222335;0.293878;Paper;4_pass;Freefall;0.095393;0.091582;0.115070;0.075200;0.102000;0.097000;0.123000;0.080000;None
39818029;08/02/2021;08:29:31;4,1182E+11;70;1;Succeeded;0.222335;0.222335;0.293878;Paper;8_pass;Freefall;0.096187;0.092574;0.115047;0.074965;0.102000;0.099000;0.123000;0.080000;None
40132315;08/02/2021;09:21:21;4,14929E+11;71;1;Succeeded;0.222335;0.222335;0.293906;Paper;4_pass_pinCure;Freefall;0.089910;0.084313;0.103922;0.064573;0.096000;0.090000;0.111000;0.069000;None
40354606;08/02/2021;10:08:14;4,17743E+11;72;1;Cancelled;0.222335;0.000000;0.293906;Paper;6_pass_pinCure;Freefall;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
40485864;08/02/2021;10:12:52;4,18021E+11;73;1;Succeeded;0.222335;0.222335;0.293906;Paper;6_pass_pinCure;Freefall;0.118276;0.111354;0.132819;0.082871;0.126000;0.119000;0.142000;0.088000;None
40771520;08/02/2021;10:47:13;4,20081E+11;74;1;Succeeded;0.222335;0.222335;0.293906;Paper;8_pass_pinCure;Freefall;0.132018;0.124456;0.151389;0.090373;0.141000;0.133000;0.161000;0.096000;None
41267053;08/02/2021;11:36:05;4,23014E+11;75;1;Succeeded;0.599990;0.599990;1.199.981;Paper;8_pass;Freefall;0.681303;1.034.060;0.881329;1.105.379;0.728000;1.106.000;0.943000;1.182.000;None
41388136;08/02/2021;11:38:26;4,23155E+11;75;2;Succeeded;0.599990;0.599989;1.199.981;Paper;8_pass;Freefall;0.997142;1.429.065;1.167.631;1.623.017;1.066.000;1.529.000;1.249.000;1.736.000;None
41654735;08/02/2021;11:43:15;4,23444E+11;76;1;Succeeded;0.599990;0.599990;1.200.009;Paper;8_pass_pinCure;Freefall;0.962114;1.255.753;0.995058;1.429.246;1.029.000;1.343.000;1.064.000;1.529.000;None
41880813;08/02/2021;11:47:10;4,23678E+11;77;1;Succeeded;0.599990;0.599990;1.199.981;Paper;8_pass;Freefall;0.832576;1.238.487;1.123.895;1.195.788;0.890000;1.325.000;1.202.000;1.279.000;None
42204885;08/02/2021;11:52:01;4,2397E+11;78;1;Succeeded;0.599990;0.599990;1.200.009;Paper;8_pass_pinCure;Freefall;1.758.636;1.965.101;1.508.148;1.904.124;1.881.000;2.102.000;1.613.000;2.037.000;None
